Fecha Descarga;IdDataset;Nombre;Sector;Número de recursos;Número de descargas;Número de votos;Formatos;Frecuencia de actualización;Fecha de incorporación;Fecha última actualización de metadatos;Fecha última actualización de datos
29/08/2019;;Deportes. Inscripción de participantes en Juegos Deportivos Municipales colectivos e individuales . Temporada en curso.  ;Deporte;;756;348;,XLS;Mensual;42110;;
29/08/2019;;Deportes. Instalaciones Deportivas Básicas Municipales;Deporte;;6819;883;,CSV,GEO,JSON,RDF,API;Anual;43606;;
29/08/2019;;Deportes. Oferta y ocupación de plazas en actividades deportivas dirigidas. Temporada en curso;Deporte;;519;189;,XLS;Mensual;43670;;
29/08/2019;;Deportes. Tarifas de instalaciones deportivas ;Deporte;;255;79;,XLS;Anual;42790;;
29/08/2019;;Deportes. Utilización de unidades deportivas;Deporte;;484;81;,XLS;Mensual;42796;;
29/08/2019;;Deportes: Piscinas municipales en la ciudad de Madrid.;Deporte;;3825;790;,CSV,GEO,JSON,RDF,API;Anual;41710;;
29/08/2019;;Depósitos de la grúa  del Ayuntamiento de Madrid;Transporte;;4647;5;,CSV,GEO,JSON,RDF,API;Diaria;43147;;
29/08/2019;;Deuda pública del Ayuntamiento de Madrid;Economía;;1167;24;,XLS;Anual;42852;;
29/08/2019;;Directorio de establecimientos en 7 polígonos industriales ;Economía;;9588;1008;,XLS;Anual;41844;;
29/08/2019;;Distinciones honoríficas otorgadas por el Ayuntamiento de Madrid;Sector público;;79;5;,XLS;Anual;42237;;
29/08/2019;;Divisiones administrativas: distritos, barrios y divisiones históricas;Urbanismo e infraestructuras;;15719;1138;,CSV,TXT;Anual;43549;;
29/08/2019;;Edificios de carácter monumental;Cultura y ocio;;8810;801;,CSV,GEO,JSON,RDF,API;Anual;41710;;
29/08/2019;;Elecciones Asamblea de Madrid 1983-2015;Sector público;;1839;726;,XLS;Sin definir;41976;;
29/08/2019;;Elecciones Ayuntamiento de Madrid 1983-2015;Sector público;;2798;983;,XLS;Sin definir;41976;;
29/08/2019;;Elecciones Congreso de los Diputados 1989-2011;Sector público;;1230;809;,XLS;Sin definir;41976;;
29/08/2019;;Elecciones Generales 28 de abril 2019: colegios, callejero y mesas electorales.;Sector público;;8653;38;,XLS;Sin definir;41908;;
29/08/2019;;Elecciones Municipales, Autonómicas y al Parlamento Europeo 26 de mayo de 2019: colegios, callejero y mesas;Sector público;;303;5;,XLS;Sin definir;43606;;
29/08/2019;;Elecciones Parlamento Europeo 1987-2014;Sector público;;1174;880;,XLS;Sin definir;41976;;
29/08/2019;;Elecciones Senado 2000-2011;Sector público;;565;799;,XLS;Sin definir;41984;;
29/08/2019;;Elementos de mobiliario urbano y juegos homologados;Urbanismo e infraestructuras;;7601;1059;,XLS;Anual;43606;;
29/08/2019;;Embajadas y Consulados;Urbanismo e infraestructuras;;7504;821;,CSV,GEO,JSON,RDF,API;Anual;43175;;
29/08/2019;;Empresas adheridas al Sistema Arbitral de Consumo;Comercio;;3271;794;,CSV,GEO,JSON,RDF,API;Mensual;41976;;
